,gH2AX_foci,pRPA_foci,RAD51_foci
U54-TMA-9_sceneA01_cell123.0,1.0,,
U54-TMA-9_sceneA01_cell343.0,3.0,,
U54-TMA-9_sceneA01_cell346.0,2.0,,
U54-TMA-9_sceneA01_cell356.0,1.0,,
U54-TMA-9_sceneA01_cell408.0,3.0,,
U54-TMA-9_sceneA01_cell418.0,3.0,,
U54-TMA-9_sceneA01_cell536.0,1.0,,
U54-TMA-9_sceneA01_cell564.0,2.0,,
U54-TMA-9_sceneA01_cell729.0,,,0.0
U54-TMA-9_sceneA01_cell786.0,4.0,,
U54-TMA-9_sceneA01_cell803.0,3.0,,
U54-TMA-9_sceneA01_cell941.0,3.0,,
U54-TMA-9_sceneA01_cell985.0,0.0,,
U54-TMA-9_sceneA01_cell1062.0,1.0,,
U54-TMA-9_sceneA01_cell1077.0,,0.0,
U54-TMA-9_sceneA01_cell1078.0,1.0,,
U54-TMA-9_sceneA01_cell1079.0,0.0,,
U54-TMA-9_sceneA01_cell1080.0,0.0,,
U54-TMA-9_sceneA01_cell1084.0,0.0,,
U54-TMA-9_sceneA01_cell1124.0,2.0,,
U54-TMA-9_sceneA01_cell1424.0,3.0,,
U54-TMA-9_sceneA01_cell1506.0,2.0,,
U54-TMA-9_sceneA01_cell1519.0,3.0,,
U54-TMA-9_sceneA01_cell2335.0,2.0,,
U54-TMA-9_sceneA01_cell2374.0,4.0,,
U54-TMA-9_sceneA01_cell3187.0,3.0,,
U54-TMA-9_sceneA01_cell3213.0,2.0,,
U54-TMA-9_sceneA01_cell3243.0,4.0,,
U54-TMA-9_sceneA01_cell3250.0,5.0,,
U54-TMA-9_sceneA01_cell3272.0,3.0,,
U54-TMA-9_sceneA01_cell3415.0,4.0,,
U54-TMA-9_sceneA01_cell3577.0,1.0,,
U54-TMA-9_sceneA01_cell3640.0,4.0,,
U54-TMA-9_sceneA01_cell3914.0,,0.0,
U54-TMA-9_sceneA01_cell3952.0,1.0,,
U54-TMA-9_sceneA01_cell3970.0,2.0,,
U54-TMA-9_sceneA01_cell3986.0,3.0,,
U54-TMA-9_sceneA01_cell4006.0,2.0,,
U54-TMA-9_sceneA01_cell4024.0,3.0,,
U54-TMA-9_sceneA01_cell4041.0,0.0,,
U54-TMA-9_sceneA01_cell4053.0,7.0,,
U54-TMA-9_sceneA01_cell4058.0,1.0,,
U54-TMA-9_sceneA01_cell4062.0,1.0,,
U54-TMA-9_sceneA01_cell4065.0,0.0,,
U54-TMA-9_sceneA01_cell4067.0,3.0,,
U54-TMA-9_sceneA01_cell4084.0,1.0,,
U54-TMA-9_sceneA01_cell4092.0,4.0,,
U54-TMA-9_sceneA01_cell4095.0,2.0,,
U54-TMA-9_sceneA01_cell4273.0,3.0,,
U54-TMA-9_sceneA01_cell4277.0,2.0,,
U54-TMA-9_sceneA01_cell4294.0,1.0,,
U54-TMA-9_sceneA01_cell4395.0,,0.0,
U54-TMA-9_sceneA01_cell4420.0,,0.0,
